2013-05-24 05:22:49 status installed sensible-utils:all 0.0.7
2013-05-24 05:22:49 configure libsemanage-common:all 2.1.6-6 <none>
2013-05-24 05:22:49 status unpacked libsemanage-common:all 2.1.6-6
2013-05-24 05:22:49 status unpacked libsemanage-common:all 2.1.6-6
2013-05-24 05:22:49 status half-configured libsemanage-common:all 2.1.6-6
2013-05-24 05:22:49 status installed libsemanage-common:all 2.1.6-6
2013-05-24 05:22:49 configure gcc-4.7-base:amd64 4.7.2-5 <none>
2013-05-24 05:22:49 status unpacked gcc-4.7-base:amd64 4.7.2-5
2013-05-24 05:22:49 status half-configured gcc-4.7-base:amd64 4.7.2-5
2013-05-24 05:22:50 status installed gcc-4.7-base:amd64 4.7.2-5
2013-05-24 05:22:50 configure libc-bin:amd64 2.13-38 <none>
2013-05-24 05:22:50 status unpacked libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status unpacked libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status unpacked libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status unpacked libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status unpacked libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status half-configured libc-bin:amd64 2.13-38
2013-05-24 05:22:50 status installed libc-bin:amd64 2.13-38
2013-05-24 05:22:50 configure libc6:amd64 2.13-38 <none>
2013-05-24 05:22:50 status unpacked libc6:amd64 2.13-38
2013-05-24 05:22:50 status unpacked libc6:amd64 2.13-38
2013-05-24 05:22:50 status half-configured libc6:amd64 2.13-38
2013-05-24 05:22:52 status installed libc6:amd64 2.13-38
2013-05-24 05:22:52 configure debianutils:amd64 4.3.2 <none>
2013-05-24 05:22:52 status unpacked debianutils:amd64 4.3.2
2013-05-24 05:22:52 status half-configured debianutils:amd64 4.3.2
2013-05-24 05:22:52 status installed debianutils:amd64 4.3.2
2013-05-24 05:22:52 configure bsdutils:amd64 1:2.20.1-5.3 <none>
2013-05-24 05:22:52 status unpacked bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:52 status half-configured bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:52 status installed bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:53 configure perl-base:amd64 5.14.2-21 <none>
2013-05-24 05:22:53 status unpacked perl-base:amd64 5.14.2-21
2013-05-24 05:22:53 status half-configured perl-base:amd64 5.14.2-21
2013-05-24 05:22:53 status installed perl-base:amd64 5.14.2-21
2013-05-24 05:22:53 configure diffutils:amd64 1:3.2-6 <none>
2013-05-24 05:22:53 status unpacked diffutils:amd64 1:3.2-6
2013-05-24 05:22:53 status half-configured diffutils:amd64 1:3.2-6
2013-05-24 05:22:53 status installed diffutils:amd64 1:3.2-6
2013-05-24 05:22:53 configure tar:amd64 1.26+dfsg-0.1 <none>
2013-05-24 05:22:53 status unpacked tar:amd64 1.26+dfsg-0.1
2013-05-24 05:22:53 status unpacked tar:amd64 1.26+dfsg-0.1
2013-05-24 05:22:53 status half-configured tar:amd64 1.26+dfsg-0.1
2013-05-24 05:22:54 status installed tar:amd64 1.26+dfsg-0.1
2013-05-24 05:22:54 configure libtext-iconv-perl:amd64 1.7-5 <none>
2013-05-24 05:22:54 status unpacked libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:54 status half-configured libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:54 status installed libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:54 configure base-passwd:amd64 3.5.26 <none>
2013-05-24 05:22:54 status unpacked base-passwd:amd64 3.5.26
2013-05-24 05:22:54 status half-configured base-passwd:amd64 3.5.26
2013-05-24 05:22:54 status installed base-passwd:amd64 3.5.26
2013-05-24 05:22:54 configure mawk:amd64 1.3.3-17 <none>
2013-05-24 05:22:54 status unpacked mawk:amd64 1.3.3-17
2013-05-24 05:22:54 status half-configured mawk:amd64 1.3.3-17
2013-05-24 05:22:55 status installed mawk:amd64 1.3.3-17
2013-05-24 05:22:55 configure grep:amd64 2.12-2 <none>
2013-05-24 05:22:55 status unpacked grep:amd64 2.12-2
2013-05-24 05:22:55 status half-configured grep:amd64 2.12-2
2013-05-24 05:22:55 status installed grep:amd64 2.12-2
2013-05-24 05:22:55 configure hostname:amd64 3.11 <none>
2013-05-24 05:22:55 status unpacked hostname:amd64 3.11
2013-05-24 05:22:55 status half-configured hostname:amd64 3.11
2013-05-24 05:22:55 status installed hostname:amd64 3.11
2013-05-24 05:22:55 configure findutils:amd64 4.4.2-4 <none>
2013-05-24 05:22:55 status unpacked findutils:amd64 4.4.2-4
2013-05-24 05:22:55 status half-configured findutils:amd64 4.4.2-4
2013-05-24 05:22:55 status installed findutils:amd64 4.4.2-4
2013-05-24 05:22:55 configure insserv:amd64 1.14.0-5 <none>
2013-05-24 05:22:55 status unpacked insserv:amd64 1.14.0-5
2013-05-24 05:22:56 status unpacked insserv:amd64 1.14.0-5
2013-05-24 05:22:56 status unpacked insserv:amd64 1.14.0-5
2013-05-24 05:22:56 status half-configured insserv:amd64 1.14.0-5
2013-05-24 05:22:56 status installed insserv:amd64 1.14.0-5
2013-05-24 05:22:56 configure gzip:amd64 1.5-1.1 <none>
2013-05-24 05:22:56 status unpacked gzip:amd64 1.5-1.1
2013-05-24 05:22:56 status half-configured gzip:amd64 1.5-1.1
2013-05-24 05:22:56 status installed gzip:amd64 1.5-1.1
2013-05-24 05:22:56 configure liblocale-gettext-perl:amd64 1.05-7+b1 <none>
